,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,element_type,start_price,end_price
172,Mahmoud Dahoud,0,1,14,449,6,127.2,70.4,24.0,0,68,21.7,1,1,1,0.1,MID,5.0,4.8
173,Lewis Dunk,3,1,89,2869,53,205.4,823.0,389.0,11,567,141.7,5,1,6,5.3,DEF,5.0,5.2
174,Julio Enciso,0,2,20,468,12,131.7,81.0,157.0,0,62,36.9,0,0,2,0.4,MID,5.5,5.0
175,Pervis Estupiñán,2,3,57,1242,26,382.6,350.8,156.0,7,291,89.0,3,0,4,14.5,DEF,5.0,4.7
176,Evan Ferguson,6,1,69,1356,28,106.7,275.0,393.0,5,218,77.3,2,0,1,3.5,FWD,6.0,5.7
177,Billy Gilmour,0,3,61,2116,37,481.5,291.4,104.0,4,354,87.7,6,1,8,0.2,MID,5.0,4.8
178,Pascal Groß,4,11,153,3112,50,1674.9,988.6,434.0,29,724,309.9,7,0,6,4.1,MID,6.5,6.1
179,João Pedro Junqueira de Jesus,9,3,104,2037,38,578.8,622.4,932.0,12,406,213.4,5,0,2,6.1,FWD,5.5,5.2
180,Michał Karbownik,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
181,Kacper Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
182,Adam Lallana,0,1,30,839,13,248.7,83.0,130.0,0,95,45.8,2,0,2,0.0,MID,5.0,4.9
183,Tariq Lamptey,0,3,31,908,20,173.7,144.6,60.0,0,155,37.6,1,0,3,3.6,DEF,4.0,3.9
184,Solly March,3,1,39,555,11,126.5,197.4,139.0,6,134,46.4,2,0,1,2.0,MID,6.5,6.1
185,Tom McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,4.0,3.9
186,James Milner,0,2,28,770,12,253.5,152.8,61.0,0,146,46.8,4,0,3,0.1,MID,5.0,4.8
187,Kaoru Mitoma,3,7,74,1485,27,375.1,327.6,636.0,7,252,134.0,1,0,4,11.8,MID,6.5,6.4
188,Jakub Moder,0,0,21,608,13,82.3,87.2,84.0,0,89,25.4,1,0,2,0.1,MID,4.5,4.4
189,Jeremy Sarmiento Morante,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
190,Kjell Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
191,Jason Steele,0,0,42,1530,34,0.1,382.2,0.0,5,300,38.2,2,0,0,1.7,GK,4.5,4.0
192,Deniz Undav,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,5.5,5.5
193,Jan Paul van Hecke,0,0,61,2368,38,176.4,631.8,175.0,3,454,98.5,5,0,4,2.1,DEF,4.0,4.0
194,Joël Veltman,1,1,49,1579,32,97.8,320.8,98.0,0,294,51.8,3,0,4,0.6,DEF,4.5,4.3
195,Bart Verbruggen,0,0,68,1890,28,1.0,541.4,0.0,7,417,54.3,4,0,3,1.2,GK,4.5,4.4
196,Adam Webster,0,0,26,1142,22,89.3,252.2,54.0,2,212,39.7,2,0,2,0.3,DEF,4.5,4.2
197,Danny Welbeck,5,4,79,1687,28,320.9,326.2,492.0,5,261,114.0,8,0,4,1.0,FWD,6.0,5.7
198,Andi Zeqiri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,FWD,4.5,4.4
199,Igor Julio dos Santos de Paulo,0,0,37,1631,26,135.5,297.8,23.0,1,311,45.8,2,0,4,0.2,DEF,4.5,4.3
200,Jack Hinshelwood,3,0,42,866,17,118.9,200.2,230.0,5,155,55.0,2,0,1,0.0,MID,4.5,4.5
201,Carlos Baleba,0,0,34,1314,28,134.7,179.8,72.0,0,174,38.8,2,0,7,0.0,MID,4.5,4.5
202,Anssumane Fati Vieira,2,1,33,509,12,92.1,121.4,292.0,1,84,50.5,1,0,2,0.4,MID,6.5,6.4
203,Mark O’Mahony,0,0,2,61,1,1.6,6.0,6.0,0,5,1.3,0,0,1,0.0,FWD,4.5,4.5
204,Benicio Baker-Boaitey,0,0,4,37,1,12.6,4.6,4.0,0,10,1.9,0,0,1,0.0,MID,4.5,4.5
205,Ben Jackson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
206,Joshua Duffus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
207,Leigh Kavanagh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
208,Luca Barrington,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
209,Cameron Peupion,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
210,Valentín Barco,0,0,5,307,9,69.6,44.8,39.0,0,33,15.5,0,0,1,0.0,DEF,4.0,4.0
211,Samy Chouchane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
212,Odeluga Offiah,0,0,4,126,3,5.5,6.4,4.0,0,21,1.6,0,0,0,0.0,DEF,4.0,4.0
213,Noël Atom,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
214,Enock Agyei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,MID,4.5,4.2
215,Ameen Al-Dakhil,1,0,19,1055,26,42.8,193.0,84.0,0,127,32.0,0,0,1,1.2,DEF,4.0,3.8
216,Samuel Bastien,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,4.9
217,Manuel Benson Hedilazio,0,0,8,110,5,26.4,17.6,30.0,0,22,7.5,0,0,0,0.1,MID,5.5,5.2
218,Jordan Beyer,0,1,30,1234,23,46.1,330.8,35.0,4,236,41.3,2,0,6,0.8,DEF,4.0,3.9
219,Josh Brownhill,4,2,78,2248,56,501.5,499.0,234.0,2,365,123.5,2,1,4,0.2,MID,5.0,4.7
220,Darko Churlinov,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
221,Jack Cork,0,0,4,25,0,5.2,4.2,2.0,0,8,1.1,0,0,0,0.0,MID,5.0,4.8
222,Dara Costelloe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
223,Josh Cullen,2,4,65,2055,48,426.7,458.0,106.0,5,375,98.9,0,0,9,0.1,MID,5.0,5.0
224,CJ Egan-Riley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.0,3.9
225,Hjalmar Ekdal,0,0,15,436,8,15.9,76.6,15.0,3,77,10.7,1,0,2,0.2,DEF,4.0,3.9
226,Lyle Foster,5,3,75,1898,43,263.4,364.2,467.0,4,229,109.6,2,1,0,0.4,FWD,5.0,4.7
227,Denis Franchi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,GK,4.0,3.9
228,Jóhann Berg Gudmundsson,1,3,48,1185,25,515.6,234.6,158.0,0,193,91.0,2,0,2,0.0,MID,5.0,4.8
229,Luke McNally,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
230,Arijanet Muric,0,0,47,900,16,40.3,513.0,0.0,12,241,55.3,0,0,0,0.6,GK,4.5,4.3
231,Dara O'Shea,3,4,69,2892,71,189.7,772.0,213.0,2,478,117.7,2,1,5,0.3,DEF,4.5,4.4
232,Michael Obafemi,0,0,2,19,0,0.6,0.0,17.0,0,4,1.7,0,0,0,0.0,FWD,5.0,4.9
233,Bailey Peacock-Farrell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
234,Connor Roberts,0,1,12,817,23,104.1,142.8,12.0,0,111,25.7,0,1,3,0.1,DEF,4.5,4.3
235,Jay Rodriguez,2,1,41,811,18,66.2,138.8,232.0,3,108,42.6,1,0,0,0.2,FWD,5.5,5.3
236,Charlie Taylor,1,1,47,2329,46,275.7,395.6,59.0,1,347,73.3,2,0,8,2.7,DEF,4.0,3.9
237,Bobby Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
238,Scott Twine,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,4.9
239,Lawrence Vigouroux,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,4.0,3.9
240,Victor da Silva,0,3,60,2311,44,200.8,305.4,228.0,2,259,73.0,2,0,1,0.2,DEF,4.5,4.4
241,Wout Weghorst,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,5.5,5.5
242,Anass Zaroury,0,0,4,149,4,36.3,6.8,19.0,0,10,5.6,0,1,0,0.0,MID,5.0,4.6
243,David Datro Fofana,4,1,50,876,18,111.7,212.0,273.0,8,133,59.2,1,0,1,0.2,FWD,5.0,5.0
244,Sander Berge,1,2,74,3002,70,446.3,533.6,161.0,3,430,114.3,2,1,8,0.1,MID,5.0,4.6
245,Zeki Amdouni,5,1,85,1953,41,246.5,372.8,509.0,11,243,112.4,5,0,2,0.2,FWD,5.5,5.1
246,James Trafford,0,0,70,2520,62,3.3,903.6,0.0,5,533,90.7,2,0,2,0.9,GK,4.5,4.4
247,Nathan Redmond,0,0,11,132,5,52.5,23.8,18.0,0,38,9.4,0,0,1,0.0,MID,5.0,4.7
248,Luca Koleosho,1,2,40,972,23,147.9,86.8,213.0,0,80,44.5,3,0,0,0.0,MID,5.0,4.8
249,Jacob Bruun Larsen,6,0,82,1235,23,416.5,335.8,448.0,7,237,119.5,3,0,1,0.1,MID,5.0,4.8
250,Owen Dodgson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
251,Wilson Odobert,3,4,82,2095,48,435.4,331.0,445.0,3,303,121.1,2,0,3,0.1,MID,5.0,5.0
252,Hannes Delcroix,0,0,7,584,25,57.8,110.0,42.0,0,88,20.9,0,0,2,0.1,DEF,4.0,4.0
253,Aaron Ramsey,0,0,18,522,17,28.0,51.2,53.0,0,62,12.7,0,0,1,0.0,MID,5.0,5.0
254,Han-Noah Massengo,0,0,3,14,0,0.1,2.8,0.0,0,11,0.3,0,0,0,0.0,MID,5.0,4.9
255,Mike Trésor,0,0,20,410,10,110.5,44.4,24.0,0,73,18.0,0,0,0,0.0,MID,5.5,5.2
256,Lorenz Assignon,1,2,25,1235,32,176.0,270.2,119.0,3,140,56.6,0,1,3,0.2,DEF,4.0,4.0
257,Maxime Esteve,0,0,15,1310,28,38.9,229.2,29.0,0,157,29.9,0,0,6,0.0,DEF,4.0,4.0
258,Moisés Caicedo Corozo,1,3,84,2865,50,403.2,613.6,68.0,6,466,108.2,7,0,11,1.2,MID,5.0,4.5
259,Robert Sánchez,0,0,59,1433,25,0.1,450.6,0.0,7,317,45.2,3,0,2,2.2,GK,4.5,4.5
260,Ethan Ampadu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
261,Andrey Nascimento dos Santos,0,0,1,7,0,0.5,0.0,3.0,0,1,0.2,0,0,0,0.1,MID,4.5,4.2
262,Kepa Arrizabalaga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,5.0,5.0
263,Pierre-Emerick Aubameyang,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,6.5,6.5
264,César Azpilicueta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.5,4.5
265,Abdul Rahman Baba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
266,Benoît Badiashile,0,1,35,1337,31,87.4,336.4,51.0,4,267,47.5,3,0,3,0.3,DEF,4.5,4.4
267,Marcus Bettinelli,0,0,-1,0,0,0.0,0.0,0.0,0,-3,0.0,0,0,1,0.0,GK,4.0,4.0
268,Trevoh Chalobah,1,0,39,949,14,45.4,250.8,38.0,4,221,33.4,3,0,1,2.0,DEF,4.5,4.3
269,Ben Chilwell,0,2,24,752,14,212.8,128.4,139.0,2,123,48.0,1,0,5,4.7,DEF,5.5,5.4
270,Carney Chukwuemeka,1,1,16,222,5,68.6,78.4,52.0,0,53,19.9,0,0,2,1.0,MID,4.5,4.2
271,Levi Colwill,1,1,65,1794,26,113.2,394.6,163.0,4,355,67.2,5,0,2,2.1,DEF,4.5,4.6
272,Marc Cucurella Saseta,0,3,44,1783,33,283.9,384.4,122.0,3,318,79.3,4,0,10,3.7,DEF,5.0,4.9
273,Enzo Fernández,3,3,77,2208,47,567.7,527.2,369.0,4,369,146.3,5,0,7,1.9,MID,5.0,4.8
274,Wesley Fofana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.5,4.4
275,Conor Gallagher,5,8,129,3129,56,821.5,754.8,401.0,10,618,197.4,8,1,7,1.7,MID,5.5,5.4
276,Malo Gusto,0,6,74,1746,28,494.8,434.8,174.0,10,409,110.4,5,1,7,8.2,DEF,4.0,4.3
277,Reece James,0,2,11,416,13,172.1,137.4,61.0,0,106,37.1,0,2,0,2.7,DEF,5.5,5.3
278,Romelu Lukaku Bolingoli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,FWD,7.0,6.8
279,Noni Madueke,5,3,76,1044,19,287.5,341.6,401.0,7,253,102.8,4,0,2,1.2,MID,5.5,5.3
280,Mykhailo Mudryk,5,5,94,1564,28,457.5,347.2,420.0,5,291,122.4,7,0,5,0.9,MID,6.5,6.3
281,Nicolas Jackson,14,6,142,2801,48,501.7,783.8,1098.0,12,479,237.7,9,0,10,17.9,FWD,7.0,7.0
282,Christopher Nkunku,3,0,29,437,12,74.5,134.6,222.0,4,96,42.7,0,0,0,1.0,FWD,7.5,7.2
283,Christian Pulisic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.5,5.5
284,Malang Sarr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.5,4.3
285,Gabriel Słonina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
286,Raheem Sterling,8,8,123,1972,38,473.7,502.8,747.0,8,323,172.1,5,0,7,4.8,MID,7.0,6.8
287,Thiago Emiliano da Silva,3,1,98,2525,45,138.7,797.0,165.0,12,604,110.6,7,0,4,4.5,DEF,5.0,5.0
288,Hakim Ziyech,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,MID,5.5,5.4
289,Cole Palmer,22,13,244,2617,46,1022.5,1240.2,1016.0,32,844,327.8,7,0,7,51.3,MID,5.0,6.3
290,Ângelo Gabriel Borges Damaceno,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,5.0
291,Ian Maatsen,0,0,11,200,5,44.8,29.4,29.0,0,24,10.3,0,0,1,0.0,MID,5.5,5.1
292,Axel Disasi,2,0,71,2579,50,105.5,573.2,172.0,6,468,85.1,5,0,6,3.4,DEF,5.0,4.9
293,Lesley Ugochukwu,0,0,13,296,6,44.4,60.8,4.0,0,62,10.9,1,0,2,0.1,MID,4.5,4.4
294,Mason Burstow,0,0,2,8,1,0.6,0.4,2.0,0,6,0.3,0,0,0,0.1,FWD,4.5,4.5
295,Lucas Bergström,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,3.9
296,Roméo Lavia,0,0,1,32,0,1.9,3.6,0.0,0,2,0.6,0,0,0,0.0,MID,5.0,4.9
297,Bashir Humphreys,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
298,Deivid Washington de Souza Eugênio,0,0,2,11,1,0.1,0.0,4.0,0,5,0.4,0,0,0,0.1,FWD,4.5,4.5
299,Eddie Beach,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
300,Diego Manuel Jadon da Silva Moreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
301,Đorđe Petrović,0,0,71,1986,38,0.0,567.8,0.0,5,414,56.8,5,0,2,8.4,GK,4.5,4.7
302,Alfie Gilchrist,1,0,20,200,6,8.6,70.6,33.0,0,67,11.1,1,0,1,0.1,DEF,4.0,4.0
303,Ronnie Stutter,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
304,Alex Matos,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.0,MID,4.5,4.5
305,Josh Brooking,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
306,Leo Castledine,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
307,Cesare Casadei,0,0,11,71,3,27.4,19.8,2.0,0,38,5.1,0,0,0,0.0,MID,4.5,4.5
308,Ishé Samuels-Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
309,Ollie Harrison,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
310,Jimi Tauriainen,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,MID,4.5,4.5
311,Josh Acheampong,0,0,1,5,0,0.0,15.0,0.0,0,4,1.5,0,0,0,0.0,DEF,4.0,4.0
312,Teddy Sharman-Lowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
313,Tyrique George,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
314,Kiano Dyer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
315,Ted Curd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
316,Zak Sturge,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
317,Rob Holding,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,DEF,4.5,4.3
318,Naouirou Ahamada,0,0,16,332,14,25.2,41.2,61.0,0,52,12.9,0,1,2,0.4,MID,4.5,4.3
319,Joachim Andersen,2,3,121,3416,58,301.1,873.6,253.0,12,679,143.1,10,0,7,14.1,DEF,4.5,4.7
320,Jordan Ayew,4,7,109,2540,39,445.2,517.6,550.0,3,325,151.1,11,1,7,0.3,MID,5.5,5.3
321,Nathaniel Clyne,0,1,52,1335,16,67.8,179.6,21.0,0,259,27.0,5,0,0,0.2,DEF,4.5,4.3
322,Cheick Doucouré,0,0,21,920,12,138.5,165.8,36.0,0,141,34.2,3,0,2,0.0,MID,5.0,4.8
323,Malcolm Ebiowei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.4
324,Odsonne Edouard,7,0,79,1545,24,256.7,359.6,663.0,9,246,128.0,6,0,4,1.3,FWD,5.5,5.3
325,Eberechi Eze,11,5,136,2054,28,810.0,740.4,735.0,11,490,228.7,8,0,3,5.4,MID,6.5,6.0
326,Vicente Guaita,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,GK,4.5,4.4
327,Marc Guéhi,0,1,66,2020,32,106.6,417.8,35.0,6,397,56.1,6,0,2,1.3,DEF,4.5,4.2
328,Will Hughes,0,2,61,1886,38,338.6,319.2,67.0,2,252,72.3,8,0,6,0.0,MID,5.0,4.9
329,Sam Johnstone,0,0,68,1796,27,0.0,321.4,0.0,7,310,32.2,6,0,1,1.3,GK,4.5,4.3
330,Jefferson Lerma Solís,1,1,64,2399,46,366.1,417.6,240.0,4,338,102.4,5,0,8,0.1,MID,5.0,4.7
331,Jean-Philippe Mateta,16,7,165,2274,44,404.0,775.0,741.0,22,563,191.9,8,0,3,7.3,FWD,5.0,5.1
332,Remi Matthews,0,0,1,3,1,0.0,1.0,0.0,0,3,0.1,0,0,0,0.1,GK,4.0,3.9
333,Tyrick Mitchell,2,3,119,3204,55,393.7,669.8,209.0,10,590,127.4,10,0,6,4.7,DEF,4.5,4.5
334,Jake O'Brien,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.0,4.0
335,Michael Olise,10,6,125,1272,19,568.7,627.6,556.0,21,438,175.4,3,0,0,5.3,MID,6.0,5.7
336,Luke Plange,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,4.5,4.5
337,Chris Richards,1,1,62,2091,38,87.5,456.2,108.0,4,370,65.2,4,0,3,1.5,DEF,4.0,3.9
338,Jairo Riedewald,0,0,12,228,3,9.3,24.6,14.0,0,35,4.8,1,0,0,0.1,MID,4.5,4.3
339,Jeffrey Schlupp,2,2,66,1340,25,234.2,279.8,229.0,4,201,74.1,4,0,1,0.1,MID,5.0,4.8
340,James Tomkins,0,0,3,8,2,0.3,3.0,0.0,0,12,0.3,0,0,0,0.4,DEF,4.0,3.9
341,Joel Ward,0,1,54,1978,34,79.0,348.2,41.0,0,304,46.8,5,0,4,0.2,DEF,4.5,4.5
342,Joe Whitworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,GK,4.0,3.9
343,Dean Henderson,0,0,48,1620,30,0.0,434.8,0.0,2,293,43.7,4,0,2,1.7,GK,4.5,4.4
344,Matheus França de Oliveira,0,2,16,224,7,77.7,36.4,53.0,0,47,16.5,0,0,1,0.0,MID,5.0,4.8
